體制,學校,地址,英文地址,經緯度
國中,市立中崙高中(國中部),臺北市八德路四段101號,"No. 101, Section 4, Bade Road, Songshan District, Taipei City, Taiwan 105","25.0487226, 121.5611946"
國中,私立普林斯頓高中(國中部),臺北市松山區美仁里寧安街12號,"No. 12, Nong'an Street, Zhongshan District, Taipei City, Taiwan 10491","25.0648531, 121.5240703"
國中,市立和平高中(國中部),臺北市大安區芳和里臥龍街100號,"No. 100, Section 6, Minquan E Rd, Neihu District, Taipei City, Taiwan 114","25.0687871, 121.5864989"
國中,市立大同高中(國中部),臺北市中山區中央里長春路167號,"No. 167, Changchun Rd, Zhongshan District, Taipei City, Taiwan 10491","25.0550217, 121.5352722"
國中,市立大直高中(國中部),臺北市中山區劍潭里北安路420號,"No. 420, Beian Road, Zhongshan District, Taipei City, Taiwan 10491","25.07886, 121.543375"
國中,市立成淵高中(國中部),臺北市大同區承德路二段235號,"No. 235-1, Section 2, Chengde Road, Datong District, Taipei City, Taiwan 103","25.0609739, 121.5191368"
國中,市立大理高中(國中部),臺北市萬華區綠堤里長順街2號,"No. 2, Zhangshun Street, Wanhua District, Taipei City, Taiwan 108","25.040302, 121.504089"
國中,市立萬芳高中(國中部),臺北市文山區興隆路3段115巷1號,"No. 1, Lane 115, Section 3, Xinglong Road, Wenshan District, Taipei City, Taiwan 116","25.0006248, 121.5589135"
國中,市立南港高中(國中部),臺北市南港區西新里向陽路21號,"No. 21, Xiangyang Road, Nangang District, Taipei City, Taiwan 115","25.0525541, 121.5950322"
國中,市立陽明高中(國中部),臺北市士林區後港里中正路510號,"No. 510, Zhongzheng Road, Shilin District, Taipei City, Taiwan 111","25.0918395, 121.5171309"
國中,市立百齡高中(國中部),臺北市士林區義信里承德路4段177號,"No. 177, Section 4, Chengde Road, Shilin District, Taipei City, Taiwan 111","25.087055, 121.5229997"
國中,私立延平中學(國中部),臺北市大安區和安里建國南路1段275號,"No. 275, Section 1, Jianguo South Road, Da’an District, Taipei City, Taiwan 106","25.0362907, 121.5384815"
國中,私立復興實驗高中(國中部),臺北市大安區敦化南路1段262 號,"106, Taiwan, Taipei City, Da’an District, 敦化南路1段262號","25.0394419, 121.5484402"
國中,私立靜修高中(國中部),臺北市大同區雙連里寧夏路59號,"No. 59, Ningxia Road, Datong District, Taipei City, Taiwan 103","25.057931, 121.5154866"
國中,私立東山高中(國中部),臺北市文山區老泉里老泉街26巷3號,"No. 3, Lane 26, Laoquan Street, Wenshan District, Taipei City, Taiwan 116","24.972692, 121.5617191"
國中,私立再興中學(國中部),臺北市文山區明義里興隆路4段2號,"No. 2-1號, Section 4, Xinglong Road, Wenshan District, Taipei City, Taiwan 116","24.9900513, 121.5593087"
國中,私立景文高中(國中部),臺北市文山區木新里保儀路127號,"No. 127, Baoyi Road, Wenshan District, Taipei City, Taiwan 116","24.985367, 121.567397"
國中,私立靜心高中(國中部),臺北市文山區興福里興隆路2段46號,"No. 46, Section 2, Xinglong Road, Wenshan District, Taipei City, Taiwan 116","24.998863, 121.5467338"
國中,私立方濟中學(國中部),臺北市內湖區紫星里成功路三段61號,"No. 61, Section 3, Chenggong Road, Neihu District, Taipei City, Taiwan 114","25.0773094, 121.5905296"
國中,私立達人女中(國中部),臺北市內湖區湖濱里內湖路2段314號,"No. 314, Section 2, Neihu Road, Neihu District, Taipei City, Taiwan 114","25.0812531, 121.5876434"
國中,私立泰北高中(國中部),臺北市士林區福林里福林路240號,"No. 240號, Fulin Road, Shilin District, Taipei City, Taiwan 111","25.0973651, 121.5339431"
國中,私立衛理女中(國中部),臺北市士林區翠山里至善路2段321號,"No. 321, Sec 2, Zhi Shan Rd, Shilin District, Taipei City, Taiwan 111","25.101757, 121.55231"
國中,私立華興中學(國中部),臺北市士林區芝山里仰德大道1段101號,"No. 90-1, Section 2, Yangde Boulevard, Shilin District, Taipei City, Taiwan 111","25.1071029, 121.545592"
國中,私立薇閣高中(國中部),臺北市北投區中心里珠海路50號,"No. 50, Zhuhai Road, Beitou District, Taipei City, Taiwan 112","25.1395248, 121.5039711"
國中,幼華高中(國中部),臺北市北投區北投路二段55號,"No. 55, Section 2, Beitou Road, Beitou District, Taipei City, Taiwan 112","25.1333929, 121.4968898"
國中,私立奎山實中(國中部),臺北市北投區榮華里明德路200號,"No. 200, Mingde Road, Beitou District, Taipei City, Taiwan 112","25.112998, 121.5223028"
